doc	page	section	body
2026학년도 학교회계 예산편성 및 집행지침	1	학교회계 예산편성 및 집행지침	간 행 물 관 리 번 호\n세종교육2025-052\n2026학년도\n학교회계 예산편성 및 집행지침\n2025. 11.\n [조직예산과]
2026학년도 학교회계 예산편성 및 집행지침	2	(텍스트 추출 없음)	(텍스트 추출 없음)
2026학년도 학교회계 예산편성 및 집행지침	3	2026학년도 학교회계 예산편성 및 집행지침	2026학년도 학교회계 예산편성 및 집행지침\n차 례\n제1편 2026년 교육재정 운용 방향\nⅠ. 세종교육재정 운용 방향············································9\nⅡ. 단위학교 재정운용 방향··········································13\n제2편 학교회계 예산편성 및 집행지침\nⅠ. 목적·············································································17\nⅡ. 성격·············································································17\nⅢ. 적용대상·····································································17\nⅣ. 학교회계운용 일반사항············································17\n1. 회계의 설치단위····························································17\n2. 회계연도 및 출납폐쇄기한···········································18\n3. 금융기관의 이용····························································18\n4. 지정정보처리장치··························································18\n5. 학교회계의 범위····························································19\n6. 세출예산 집행································································19\nⅤ. 행정사항·····································································25\n1. 단위학교별 연수 실시···················································25\n2. 국민권익위원회 및 감사원 권고사항 이행·················25\n3. 학교재정운영의 공개 ···················································27\n4. 예․결산 보고 일정··························································27\n5. 신설학교 학교회계 업무처리·······································27\n6. 학교회계 비리 예방 자체 점검 실시··························28\n7. 회계문서 관리 철저·······················································31\n8. 낭비성 예산집행금지·····················································31\n9. 기타사항··········································································31
2026학년도 학교회계 예산편성 및 집행지침	4	2026학년도 학교회계 예산편성 및 집행지침	2026학년도 학교회계 예산편성 및 집행지침\n차 례\nⅥ. 학교회계 예·결산 과정··········································33\n1. 예산·················································································33\n2. 결산·················································································42\nⅦ. 예산편성 및 집행기준··············································46\n1. 예산편성 기본방향························································46\n2. 예산편성 과목 및 사업 설정·······································46\n3. 세입예산 과목별 편성 기준·········································47\n 가. 이전수입······································································47\n 나. 자체수입······································································48\n 다. 기타수입······································································50\n4. 세출예산 사업별 편성 및 집행기준····························52\n5. 세출예산 성질별 편성 및 집행기준····························56\n 가. 인건비··········································································56\n 나. 운영비··········································································62\n  1) 학교운영비··································································62\n   가) 일반운영비······························································62\n   나) 교육운영비······························································76\n   다) 법정부담금······························································78\n 다. 여비·············································································79\n 라. 업무추진비··································································97\n 마. 자산취득비································································103\n 바. 예비비 ······································································105
2026학년도 학교회계 예산편성 및 집행지침	5	2026학년도 학교회계 예산편성 및 집행지침	2026학년도 학교회계 예산편성 및 집행지침\n차 례\n제3편 학교운영비 및 권장사업\nⅠ. 학교운영비·······························································109\nⅡ. 학교특성경비····························································115\nⅢ. 통합교부사업····························································119\nⅣ. 권장사업···································································237\n제4편 학교회계 예산과목 체계\nⅠ. 세입예산 과목 해설················································265\nⅡ. 세출예산 사업·과목 해설·····································271\nⅢ. 세입세출외현금 과목 해설·····································283\n제5편 부록\nⅠ. 예산편성 기준단가··················································287\nⅡ. 공립학교 회계규칙··················································300\nⅢ. 각종 서식·································································318\nⅣ. 각종 지침·································································334
2026학년도 학교회계 예산편성 및 집행지침	6	(텍스트 추출 없음)	(텍스트 추출 없음)
2026학년도 학교회계 예산편성 및 집행지침	7	제1편	제1편\nⅠ. 세종교육재정 운용 방향\nⅡ. 단위학교 재정운용 방향\n2026년 교육재정 운용 방향
2026학년도 학교회계 예산편성 및 집행지침	8	(텍스트 추출 없음)	(텍스트 추출 없음)
2026학년도 학교회계 예산편성 및 집행지침	9	제1편 2026년 교육재정 운용 방향	제1편 2026년 교육재정 운용 방향\n- 9 -\nⅠ\n세종교육재정 운용 방향\n가\n교육재정의 계획적 운용\n ◦ 중기지방교육재정계획 수립 내실화로 활용도 제고 및 중장기 예측 강화\n   - 중기지방교육재정계획은 재정 운용의 기본틀로서 세종교육의 비전과 정책 \n우선순위를 반영하여 연도별로 투자계획 수립\n   - 중기 재정수지를 전망하여 향후 가용재원을 판단하고 중장기 계획과 연계된 \n재정투자사업, BTL사업, 기금 등은 전략적으로 재원 배분\n ◦ 대규모 사업에 대한 투자심사체제 강화 및 체계적 예산 관리\n   - 일정규모 이상(총사업비 40억원)의 사업은 예산편성 또는 사업시행 전에 \n반드시 사업의 타당성, 효율성 등에 대해 투자심사 실시\n   - 한정된 투자재원을 사업별·연도별로 적정하게 배분하고 투자심사 결과를 \n바탕으로 예산 편성 유도\n나\n교육재정의 건전한 운용\n ◦ 한정된 재원 안에서 사업 필요성, 타당성 등을 고려하여 재원 배분\n   - 국별 예산조정을 통해 비효율적인 예산 감축, 유사·중복 사업 통·폐합, \n업무추진비 및 여비 등 최소 편성 \n   - 신규사업은 중장기 계획과 연계, 법적 근거, 재원확보 방안 등을 고려하여 \n정책사업 검토조정위원회를 통하여 면밀히 검토 \n ◦ 부서·기관 간 재정운용의 통일을 기하도록 예산편성 기준 설정\n   - 기본운영비 등 행정운영경비는 필수 소요 경비만 편성되도록 경비를 \n표준화하고 각종 소모성 경비 기준 설정\n   - 재정운용의 균형을 확보하기 위해 예산배정, 이용·전용, 변경사용 이체, \n이월 등 세출예산 운용 기준 수립
2026학년도 학교회계 예산편성 및 집행지침	10	2026학년도 학교회계 예산편성 및 집행지침	2026학년도 학교회계 예산편성 및 집행지침\n- 10 -\n다\n교육재정의 효율성 제고\n ◦ 예산과 집행을 연계한 재정집행 확대\n   - 전년도 예산·결산과 당해연도 예산집행 상황을 분석하여 회계연도 내 \n집행 가능한 예산 편성으로 이월·불용액 최소화\n   - 이미 편성된 예산은 재정집행 중간 점검을 통해 이월·불용액 발생 규모를 \n추산하여 예산 재편성 및 관리\n   ※ 연례적 이월·불용 사업은 사유를 심층 분석하고 개선하며, 시설사업비의 경우 계속비로 \n편성하여 이월·불용액 최소화\n ◦ 교육재정 운용 효율성을 제고하기 위해 재정집행 관리 강화\n   - 신속집행, 소비·투자분야 중점 추진과제와 집행률 목표를 설정하여 집행\n실적 확대 추진\n   - 세종교육집행점검단(단장: 부교육감), 사업별 실무관리반(반장: 예산1담당) 등 \n재정집행 점검체계 운영으로 집행 목표 달성 독려\n   ※ 2026회계연도 이월·불용률과 교육부 목표치에 따라 2028년도 보통교부금 산정 시 \n±80억원(교특회계 ±50억, 학교회계 ±30억) 추가 반영\n라\n교육재정의 신뢰성 ․ 투명성 확보\n ◦ 예산편성 등 예산과정에 주민의견 수렴으로 주민참여 활성화\n   - 교육 사업의 특수성 및 주민참여예산 제도의 실효성 확보를 위해 제안\n사업을 기존 주민 개인에서 학교 제안사업까지 확대·운영\n   - 다양한 주민 의견 수렴 및 주민참여 기회 확대를 위해 전용 누리집 연중 \n운영, 상시 온·오프라인 소통창구 운영
